name,2024,2025,2026
Ahafo Region,29.9,27.8,22.9
Ashanti Region,27.8,26.6,22.4
Bono East Region,33.2,31.6,29.2
Bono Region,32.8,31.0,26.3
Central Region,19.2,16.8,15.3
Eastern Region,23.7,22.1,19.3
Greater Accra Region,21.9,19.6,18.0
North East Region,29.2,32.4,32.9
Northern Region,33.2,34.9,33.1
Oti Region,31.2,29.0,28.4
Savannah Region,32.5,33.4,31.5
Upper East Region,29.0,33.2,34.2
Upper West Region,28.8,32.5,33.4
Volta Region,26.6,23.3,21.8
Western North Region,23.8,21.6,18.0
Western Region,18.8,16.4,15.2
