scheme,model,subset,n,r,r2,rmse,mae,mb,nmb,slope,mean_obs
cluster,cams_raw,all,33097,0.7054315203221526,0.0618642459615442,10.204398985188387,7.804268349199016,-6.561420308393297,-0.3211692046084367,0.652023355505275,20.42979281401794
cluster,cams_raw,ghana,18395,0.707443746609052,-0.4140637169719707,8.892213845787778,7.277168614480545,-6.617052153156787,-0.3622173015891603,0.757026775562755,18.268183557565344
cluster,cams_raw,ghana_reference,155,0.8718707228003637,0.1052922171746849,10.302433600048351,8.600983160477462,-8.429852233996606,-0.3922723400332608,0.5541199756661259,21.4897951593575
cluster,cams_raw,reference_all,791,0.7695630017038074,0.5351436824334133,17.78148523487426,12.255329532375534,-5.163656644108539,-0.1652023449281855,0.6951374118925192,31.256557807053
cluster,cams_raw,ghana_north(>8N),278,0.6366754091848444,-3.4516446190581656,17.514915235077225,16.023586914389938,-12.403241362644366,-0.4289118156183672,1.2168572402696112,28.917928839900267
cluster,cams_raw,ghana_south(<=8N),18117,0.7139989944078232,-0.4008422573503258,8.693530117688267,7.142957415751462,-6.528264793205495,-0.36058265872186,0.7578512837047343,18.1047663699245
cluster,cams_raw,harmattan(DJF),7078,0.714814620261073,0.1187681158073232,13.449551507212606,10.311951253972731,-7.601250937681191,-0.257411986574855,0.7488049262724843,29.529514296610884
cluster,cams_raw,non_harmattan,26019,0.5439263274403804,-0.4682827691841866,9.124056111772584,7.122098411845991,-6.278553126945135,-0.3496948359622683,0.4385984074213592,17.954377592303313
cluster,cams_linear,all,33097,0.6820793795472946,0.1134308306378497,9.919982343411574,4.721695599858123,-0.1845094080285543,-0.0090313890947515,0.8696166256827078,20.42979281401794
cluster,cams_linear,ghana,18395,0.6610669182438851,0.3172316060422495,6.178913469775187,3.3807266558141267,-0.1095941347919327,-0.005999180731165,0.6655924830973041,18.268183557565344
cluster,cams_linear,ghana_reference,155,0.8735296640772005,0.5768408762120733,7.085182987435912,4.719709379844273,-2.410699559492051,-0.1121788058757897,0.4394641863575276,21.4897951593575
cluster,cams_linear,reference_all,791,0.5882539117294501,-0.5357987835937108,32.32033282388813,17.986993431646184,6.966630904039191,0.2228854164634591,0.8756299289913283,31.256557807053
