,,r2,r2,r2,r2,rmse,rmse,rmse,rmse
scheme,,cluster,random,site,temporal,cluster,random,site,temporal
subset,model,,,,,,,,
all,cams_linear,0.113,0.4,0.323,0.303,9.92,8.16,8.671,8.796
all,cams_raw,0.062,0.062,0.062,0.062,10.204,10.204,10.204,10.204
all,catboost,0.728,0.931,0.774,0.862,5.497,2.767,5.003,3.909
all,extratrees,0.733,0.909,0.767,0.821,5.439,3.173,5.083,4.459
all,lgbm,0.73,0.906,0.779,0.826,5.475,3.225,4.948,4.394
all,paperlike_gbdt,0.635,0.763,0.727,0.629,6.363,5.129,5.503,6.414
all,stack,0.75,0.921,0.773,0.854,5.271,2.963,5.025,4.027
all,stack_rk,0.75,0.921,0.773,0.854,5.271,2.963,5.025,4.027
all,xgb_ratio,0.576,0.859,0.699,0.722,6.864,3.95,5.778,5.553
ghana,cams_linear,0.317,0.471,0.427,0.385,6.179,5.44,5.662,5.865
ghana,cams_raw,-0.414,-0.414,-0.414,-0.414,8.892,8.892,8.892,8.892
ghana,catboost,0.674,0.903,0.81,0.823,4.269,2.333,3.259,3.148
ghana,extratrees,0.72,0.886,0.809,0.759,3.959,2.526,3.264,3.667
ghana,lgbm,0.649,0.887,0.803,0.76,4.43,2.511,3.315,3.664
ghana,paperlike_gbdt,0.48,0.693,0.681,0.53,5.393,4.143,4.221,5.125
ghana,stack,0.695,0.883,0.797,0.782,4.13,2.555,3.37,3.489
ghana,stack_rk,0.695,0.883,0.797,0.782,4.13,2.555,3.37,3.489
ghana,xgb_ratio,0.571,0.837,0.755,0.516,4.898,3.016,3.704,5.2
ghana_reference,cams_linear,0.577,0.579,0.582,0.576,7.085,7.069,7.043,7.095
ghana_reference,cams_raw,0.105,0.105,0.105,0.105,10.302,10.302,10.302,10.302
ghana_reference,catboost,0.752,0.813,0.746,0.713,5.422,4.705,5.484,5.833
ghana_reference,extratrees,0.715,0.795,0.729,0.693,5.812,4.93,5.666,6.033
ghana_reference,lgbm,0.707,0.792,0.737,0.717,5.894,4.966,5.591,5.796
ghana_reference,paperlike_gbdt,0.739,0.755,0.74,0.575,5.565,5.387,5.556,7.098
ghana_reference,stack,0.77,0.821,0.766,0.729,5.226,4.61,5.273,5.674
ghana_reference,stack_rk,0.77,0.821,0.766,0.729,5.226,4.61,5.273,5.674
ghana_reference,xgb_ratio,0.63,0.75,0.673,0.673,6.621,5.447,6.226,6.226
